gene_symbol	ensembl_gene_id	total_nominations	first_nomination_year	nominating_teams	input_data	validation_details	pharos_class	in_snapshot	our_rank	overall_score	genetic_score	mutation_freq	expr_log2fc	prot_log2fc	chronos	frac_dependent	loeuf	druggability_score	tractability_modalities	max_disease_phase	n_disease_trials	n_publications	velocity	tissue_tau	target_class	is_common_essential	surface_or_secreted	winner_snapshot	rwr_snapshot	winner_global	winner_global_rank	string_degree	axes_with_data
SLMAP	ENSG00000163681	1	2023	Emory	Protein	Not prioritized for experimental validation	Tbio	yes	905	0.26597712399085177	0.4369042416993183		0.923				0.4393721586980739	0.3	2			386	0.21502590673575128	0.4139		false	true	0.0376	0.0028	0.031668	7225	69	6
SMAD3	ENSG00000166949	1	2023	Mayo	Genetics; RNA	validation studies ongoing	Tchem	yes	2129	0.09335874439282985			0.619				0.375342474252517	0.3	3			600	0.365	0.2644	Transcription factor	false	false			0.266545	220	611	6
SMAD4	ENSG00000141646	1	2018	Mayo-UFL-ISB	RNA	not prioritized for experimental validation	Tbio	yes	4196	0.04031570427377427			1.071				0.20798991549600815	0.3	2			420	0.3	0.2196	Unclassified protein	false	false			0.241423	277	585	6
SMARCA5	ENSG00000153147	1	2023	MSSM - Zhang Lab	Protein	Not prioritized for experimental validation	Tbio	yes	5660	0.022010007691791823			0.347				0.19011048121106594	0.3	2			37	0.3783783783783784	0.2512	Hydrolase	false	false			0.169997	682	389	6
SMC3	ENSG00000108055	1	2023	MSSM - Zhang Lab	Protein	Not prioritized for experimental validation	Tbio	yes	6293	0.015140924383515683			1.835				0.16914594200121225	0.3	2			67	0.373134328358209	0.2786	Unclassified protein	true	false			0.135522	1079	323	6
SMOC2	ENSG00000112562	1	2023	Emory	Protein	Not prioritized for experimental validation	Tbio	yes	1426	0.17468537289602548	0.27215072106213667		0.811				0.8301800128520851	0.3	1			59	0.5254237288135594	0.5582		false	true	0.0118	0.0014	0.012091	12388	38	6
SNAP25	ENSG00000132639	1	2018	MSSM - Zhang Lab	Genetics; RNA	not prioritized for experimental validation	Tclin	yes	1536	0.13644337993986044			-2.677				0.2698318889349513	1	4			1313	0.37242955064737243	0.7134	Other cytosolic protein	false	false	0.2091	0.0505	0.162973	749	391	6
SNCA	ENSG00000145335	1	2019	Chang Lab	Genetics; RNA		Tchem	yes	1637	0.11826345743485885			-2.065				0.7148795687998291	0.85	3			3110	0.31189710610932475	0.5487	Unclassified protein	false	true	0.3819	0.1031	0.223880	329	534	6
SNTB1	ENSG00000172164	1	2018	Emory	Protein	not prioritized for experimental validation	Tbio	yes	6294				0.521				0.9727776376345412	0.3	2			15	0.4666666666666667	0.543		false	false			0.021407	9435	48	6
SNX27	ENSG00000143376	1	2023	MSSM - Roussos Lab	RNA	Not prioritized for experimental validation 	Tbio	yes	5390	0.02461749447653827			0.23				0.4388329051978053	0.3	2			100	0.25	0.228		false	false			0.050906	4564	125	6
